Canal;Transportadora;UF Origem;Centro;Cli - Nome;NFe;NFe - Dt E;    NFe - Vlr;Cli - Cidade;UF Destino;Resp.Agend;Ocorrências;Prev. Entr;Dt .Agenda;Status;Cli -  Age;Nº Documen
40 - Totaline BR;RODONAVES TRANSPORTES E ENCOMENDAS;PR;B144;CLAUDIO AUGUSTO MEIRELES;000128668-1;02.09.2024;531,67;Viamão;RS;;025-MERCADORIA DEVOLVIDA AO CLIENTE DE ORIGEM;05.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA;;12270541
40 - Totaline BR;MODULAR TRANSPORTES LTDA;SP;B143;J A PACHECO;000209477-1;05.09.2024;4.483,81;Macapá;AP;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;05.10.2024;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12281545
10 - BSS;CAXIAS CARGAS AEREAS LTDA;RS;B113;HOTELARIA ACCOR BRASIL S/A;000853924-1;11.09.2024;1.689,99;Foz do Iguaçu;PR;;900-EMISSÃO DE NOTA FISCAL;02.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12304181
40 - Totaline BR;RODONAVES TRANSPORTES E ENCOMENDAS;PR;B144;ARCOFRIO COM IMP. E REP. DE E. LTDA;000129084-1;25.09.2024;6.369,09;Castro;PR;;900-EMISSÃO DE NOTA FISCAL;05.10.2024;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12383099
40 - Totaline BR;BRASPRESS TRANSPORTES URGENTES LTDA;SP;B146;KIT SERVICE REFR. E AR C. LTDA;000157398-1;04.10.2024;565,01;Bauru;SP;;900-EMISSÃO DE NOTA FISCAL;11.10.2024;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12420449
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;CLAUDINO S/A LOJAS DE DEPART.;000744853-4;09.10.2024;3.743,23;Teresina;PI;Grupo A;900-EMISSÃO DE NOTA FISCAL;14.01.2025;14.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12438405
40 - Totaline BR;MODULAR TRANSPORTES LTDA;PE;B154;ASSOC. BIBL. E CULT. DE CASTANHAL;000013193-1;25.10.2024;6.036,30;Castanhal;PA;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;02.12.2024;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12497509
10 - BSS;CAXIAS CARGAS AEREAS LTDA;SP;B109;OZN HEALTH SPE S/A;000138062-1;31.10.2024;16.799,91;Manaus;AM;;900-EMISSÃO DE NOTA FISCAL;02.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA;;12522031
40 - Totaline BR;CAXIAS CARGAS AEREAS LTDA;RS;B102;LUIS WANDERLEY DE C. 31436572860;000867176-1;02.11.2024;600;Valinhos;SP;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;14.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12530254
40 - Totaline BR;EXPRESSO PRINCESA DOS CAMPOS S/A;PR;B144;VISOAR REFRIGERACAO LTDA ME;000129861-1;06.11.2024;23.175,26;Cascavel;PR;;900-EMISSÃO DE NOTA FISCAL;12.11.2024;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12540768
40 - Totaline BR;MODULAR TRANSPORTES LTDA;SP;B142;LOCALIZA RENT A CAR S/A;000229950-1;07.11.2024;115.058,80;Simões Filho;BA;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;25.11.2024;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12545987
40 - Totaline BR;CAXIAS CARGAS AEREAS LTDA;RS;B102;EMAC COMERCIAL LTDA;000868977-1;09.11.2024;155,92;Belo Horizonte;MG;;900-EMISSÃO DE NOTA FISCAL;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12555933
40 - Totaline BR;RODONAVES TRANSPORTES E ENCOMENDAS;DF;B156;SAO SALVADOR ALIMENTOS S/A;000008415-1;11.11.2024;18.150,37;Itaberaí;GO;;900-EMISSÃO DE NOTA FISCAL;19.11.2024;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12559880
40 - Totaline BR;RODONAVES TRANSPORTES E ENCOMENDAS;DF;B156;SAO SALVADOR ALIMENTOS S/A;000008416-1;11.11.2024;90.748,20;Itaberaí;GO;;900-EMISSÃO DE NOTA FISCAL;19.11.2024;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12559914
40 - Totaline BR;RODONAVES TRANSPORTES E ENCOMENDAS;DF;B156;SAO SALVADOR ALIMENTOS S/A;000008417-1;11.11.2024;57.577,95;Itaberaí;GO;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;19.11.2024;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12559921
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;UNIV. TECNOLOGICA FEDERAL DO PR;000366934-10;15.11.2024;16.937,10;Curitiba;PR;;900-EMISSÃO DE NOTA FISCAL;09.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12582571
40 - Totaline BR;RODOVIARIO BEDIN LIMITADA;RS;B102;EMBRAER S/A;000870729-1;15.11.2024;11.219,98;Gavião Peixoto;SP;;003-RECUSA POR FALTA DE PEDIDO DE COMPRA;06.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12583103
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B150;LP STORE COMERCIO DE PECAS LTDA;000134095-1;19.11.2024;438,43;Campinas;SP;;900-EMISSÃO DE NOTA FISCAL;05.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12600322
40 - Totaline BR;MODULAR TRANSPORTES LTDA;SC;B121;ESTADO DA PARAIBA;000782278-4;25.11.2024;6.111,54;João Pessoa;PB;;000-PROCESSO DE TRANSPORTE JÁ INICIADO;05.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12632123
40 - Totaline BR;CAXIAS CARGAS AEREAS LTDA;RS;B102;CITYTEC REPARACAO E MANUT. LTDA;000873511-1;26.11.2024;333,37;Salvador;BA;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;14.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12634782
40 - Totaline BR;RODONAVES TRANSPORTES E ENCOMENDAS;DF;B156;SAO SALVADOR ALIMENTOS S/A;000008514-1;26.11.2024;57.577,95;Itaberaí;GO;;900-EMISSÃO DE NOTA FISCAL;16.12.2024;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12639697
40 - Totaline BR;RODONAVES TRANSPORTES E ENCOMENDAS;DF;B156;SAO SALVADOR ALIMENTOS S/A;000008515-1;26.11.2024;18.150,37;Itaberaí;GO;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;16.12.2024;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12639726
40 - Totaline BR;RODONAVES TRANSPORTES E ENCOMENDAS;DF;B156;SAO SALVADOR ALIMENTOS S/A;000008516-1;26.11.2024;102.427,42;Itaberaí;GO;;900-EMISSÃO DE NOTA FISCAL;16.12.2024;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12639827
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;SANTA CATARINA TRIBUNAL DE JUSTICA;000368272-10;27.11.2024;17.704,17;Florianópolis;SC;;900-EMISSÃO DE NOTA FISCAL;06.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12641850
10 - BSS;CAXIAS CARGAS AEREAS LTDA;RS;B113;HOTEIS F.TELLES NETTO E F. LTDA;000874100-1;27.11.2024;1.749,99;Rio Branco;AC;;900-EMISSÃO DE NOTA FISCAL;13.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12646850
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786389-4;27.11.2024;82.211,93;Itaitinga;CE;Grupo C;901-NOTA FISCAL AUTORIZADA NA SEFAZ;18.12.2024;;18-EM REAGENDAMENTO; X;12647857
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786390-4;27.11.2024;14.507,99;Itaitinga;CE;Grupo C;900-EMISSÃO DE NOTA FISCAL;18.12.2024;;18-EM REAGENDAMENTO; X;12647858
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786391-4;27.11.2024;7.044,68;Itaitinga;CE;Grupo C;901-NOTA FISCAL AUTORIZADA NA SEFAZ;18.12.2024;;18-EM REAGENDAMENTO; X;12647859
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786392-4;27.11.2024;30.601,77;Itaitinga;CE;Grupo C;901-NOTA FISCAL AUTORIZADA NA SEFAZ;18.12.2024;;18-EM REAGENDAMENTO; X;12647860
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786393-4;27.11.2024;17.022,17;Itaitinga;CE;Grupo C;900-EMISSÃO DE NOTA FISCAL;18.12.2024;;18-EM REAGENDAMENTO; X;12647861
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786394-4;27.11.2024;176,63;Itaitinga;CE;Grupo C;900-EMISSÃO DE NOTA FISCAL;18.12.2024;;18-EM REAGENDAMENTO; X;12647862
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786395-4;27.11.2024;647,65;Itaitinga;CE;Grupo C;900-EMISSÃO DE NOTA FISCAL;18.12.2024;;18-EM REAGENDAMENTO; X;12647863
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786396-4;27.11.2024;4.514,46;Itaitinga;CE;Grupo C;900-EMISSÃO DE NOTA FISCAL;18.12.2024;;18-EM REAGENDAMENTO; X;12647864
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786397-4;27.11.2024;6.047,96;Itaitinga;CE;Grupo C;901-NOTA FISCAL AUTORIZADA NA SEFAZ;18.12.2024;;18-EM REAGENDAMENTO; X;12647865
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786398-4;27.11.2024;11.358,56;Itaitinga;CE;Grupo C;901-NOTA FISCAL AUTORIZADA NA SEFAZ;18.12.2024;;18-EM REAGENDAMENTO; X;12647866
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786399-4;27.11.2024;19.877,49;Itaitinga;CE;Grupo C;900-EMISSÃO DE NOTA FISCAL;18.12.2024;;18-EM REAGENDAMENTO; X;12647867
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786457-4;27.11.2024;6.487,50;Itaitinga;CE;Grupo C;901-NOTA FISCAL AUTORIZADA NA SEFAZ;18.12.2024;;18-EM REAGENDAMENTO; X;12647958
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786459-4;27.11.2024;671,12;Itaitinga;CE;Grupo C;900-EMISSÃO DE NOTA FISCAL;18.12.2024;;18-EM REAGENDAMENTO; X;12647959
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786801-4;27.11.2024;80.320,05;Itaitinga;CE;Grupo C;900-EMISSÃO DE NOTA FISCAL;18.12.2024;;18-EM REAGENDAMENTO; X;12649366
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786802-4;27.11.2024;12.909,86;Itaitinga;CE;Grupo C;900-EMISSÃO DE NOTA FISCAL;18.12.2024;;18-EM REAGENDAMENTO; X;12649367
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786803-4;27.11.2024;5.084,03;Itaitinga;CE;Grupo C;901-NOTA FISCAL AUTORIZADA NA SEFAZ;18.12.2024;;18-EM REAGENDAMENTO; X;12649368
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000786804-4;27.11.2024;11.358,56;Itaitinga;CE;Grupo C;900-EMISSÃO DE NOTA FISCAL;18.12.2024;;18-EM REAGENDAMENTO; X;12649369
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B223;LA FLEUR II EMPR. IMOB. SPE LTDA;000368480-10;28.11.2024;20.700,28;Abreu e Lima;PE;;900-EMISSÃO DE NOTA FISCAL;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12651798
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAREJO DO BR LTDA;000787846-4;28.11.2024;32.783,69;Itaitinga;CE;Grupo C;901-NOTA FISCAL AUTORIZADA NA SEFAZ;19.12.2024;;18-EM REAGENDAMENTO; X;12654399
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;AMAZON SERV. DE VAR. DO BR LTDA;000788191-4;28.11.2024;13.327,65;Cajamar;SP;Grupo C;900-EMISSÃO DE NOTA FISCAL;05.01.2025;;04-AGUARDANDO RETORNO CLIENTE - REAGENDA; X;12655503
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;EDITORA E DISTRIB. EDUCACIONAL S/A;000368769-10;29.11.2024;6.968,93;Bandeirantes;PR;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;09.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12660765
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;MAGAZINE LUIZA S/A;000789637-4;29.11.2024;75.512,34;Guarulhos;SP;Grupo A;900-EMISSÃO DE NOTA FISCAL;04.12.2024;13.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12662219
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;MAGAZINE LUIZA S/A;000789638-4;29.11.2024;33.862,36;Guarulhos;SP;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;04.12.2024;13.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12662220
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;MAGAZINE LUIZA S/A;000789639-4;29.11.2024;58.200,05;Guarulhos;SP;Grupo A;900-EMISSÃO DE NOTA FISCAL;04.12.2024;13.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12662221
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;MAGAZINE LUIZA S/A;000789640-4;29.11.2024;45.756,22;Guarulhos;SP;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;04.12.2024;13.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12662222
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;MAGAZINE LUIZA S/A;000789641-4;29.11.2024;38.606,81;Guarulhos;SP;Grupo A;900-EMISSÃO DE NOTA FISCAL;04.12.2024;13.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12662223
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;MAGAZINE LUIZA S/A;000789642-4;29.11.2024;30.959,87;Guarulhos;SP;Grupo A;900-EMISSÃO DE NOTA FISCAL;04.12.2024;13.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12662224
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;NORSA REFRIGERANTES S/A;000368818-10;29.11.2024;3.703,67;Várzea Grande;MT;;900-EMISSÃO DE NOTA FISCAL;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12662813
40 - Totaline BR;MODULAR TRANSPORTES LTDA;SC;B121;JOSEANE SILVEIRA SARAIVA;000789757-4;29.11.2024;1.226,93;Gravataí;RS;;098-CHEGADA NA CIDADE OU FILIAL DE DESTINO;05.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12662891
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B223;SOLDI PROMOTORA DE VENDAS LTDA;000369072-10;30.11.2024;400;Campinas;SP;;900-EMISSÃO DE NOTA FISCAL;10.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12672722
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA LTD;SP;B142;XINGU RIO TRANSM. DE ENERGIA S/A;000230557-1;02.12.2024;14.759,99;Anapu;PA;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;30.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12681057
40 - Totaline BR;ANEG TRANSPORTES LTDA;SP;B146;TEL TELECOMUNICACOES LTDA;000159081-1;02.12.2024;10.400,00;Vila Velha;ES;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;12.12.2024;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12681809
10 - BSS;RODOVIARIO BEDIN LIMITADA;RS;B110;TECON TECNOLOGIA EM CONST. LTDA;000875420-1;02.12.2024;195.141,73;Porto Alegre;RS;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;05.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA;;12682441
40 - Totaline BR;CAXIAS CARGAS AEREAS LTDA;RS;B102;RENATA PASSOS BUENO;000875619-1;03.12.2024;255,22;Balneário Camboriú;SC;;900-EMISSÃO DE NOTA FISCAL;10.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12686363
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA LTD;SP;B142;LOCALIZA RENT A CAR S/A;000230593-1;03.12.2024;4.226,99;Macapá;AP;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;30.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12687652
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA LTD;SP;B142;LOJAS AVENIDA S/A;000230595-1;03.12.2024;13.231,07;Cuiabá;MT;;900-EMISSÃO DE NOTA FISCAL;30.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12688234
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA;AM;B223;GRUPO CASAS BAHIA S/A;000369267-10;03.12.2024;37.185,51;Maracanaú;CE;Grupo A;900-EMISSÃO DE NOTA FISCAL;05.01.2025;09.01.2025;34-NO CLIENTE - AGUARDANDO DESCARGA; X;12688897
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA;AM;B223;GRUPO CASAS BAHIA S/A;000369274-10;03.12.2024;274.800,93;Contagem;MG;Grupo A;900-EMISSÃO DE NOTA FISCAL;05.01.2025;09.01.2025;34-NO CLIENTE - AGUARDANDO DESCARGA; X;12689003
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;NORSA REFRIGERANTES S/A;000369280-10;03.12.2024;1.849,82;Várzea Grande;MT;;900-EMISSÃO DE NOTA FISCAL;10.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12689420
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;CLUB MED BRASIL S/A;000798506-4;03.12.2024;23.034,36;Porto Seguro;BA;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;10.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12690705
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;CARREFOUR COMERCIO E INDUSTRIA LTDA;000798530-4;03.12.2024;24.967,84;Manaus;AM;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;30.12.2024;17.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12690726
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;CARREFOUR COMERCIO E INDUSTRIA LTDA;000798531-4;03.12.2024;27.072,61;Manaus;AM;Grupo B;900-EMISSÃO DE NOTA FISCAL;30.12.2024;17.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12690727
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;LOJAS SIPOLATTI COM. E SERV. LTDA;000798534-4;03.12.2024;1.643,97;Viana;ES;Grupo B;900-EMISSÃO DE NOTA FISCAL;06.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12690731
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;LOJAS SIPOLATTI COM. E SERV. LTDA;000798535-4;03.12.2024;1.643,97;Viana;ES;Grupo B;900-EMISSÃO DE NOTA FISCAL;06.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12690732
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;ADAGIL CLIMATIZACAO EIRELI;000369322-10;04.12.2024;20.839,91;Concórdia;SC;;900-EMISSÃO DE NOTA FISCAL;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12691850
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B216;ADAGIL CLIMATIZACAO EIRELI;000016887-35;04.12.2024;629,03;Concórdia;SC;;900-EMISSÃO DE NOTA FISCAL;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12691859
